customer_id,first_touch_channel,last_touch_channel,journey_type,total_touchpoints,days_to_purchase,product_category,order_value,used_mobile_app,used_website,used_store,used_social,used_email,used_call_center,bopis_order,ship_from_store,loyalty_member,customer_age,lifetime_value,purchase_completed,cart_abandonment_stage,device_switches,research_time_hours,in_store_visit_count,email_opens,social_interactions,customer_satisfaction_score,return_flag,cross_sell_flag,season
C075,Mobile App,Website,Cross-Device,7,3,Electronics,1234,Yes,Yes,No,No,Yes,No,No,No,Yes,45,8900,Yes,None,2,4.2,0,5,0,8,No,Yes,Q4
C076,Website,Website,Digital Only,2,0,Apparel,123.45,No,Yes,No,No,No,No,No,No,No,22,123.45,Yes,None,0,0.6,0,0,0,9,No,No,Q4
C077,Store,Store,Store Only,3,0,Sports,456.78,No,No,Yes,No,No,Yes,No,No,Yes,62,21000,Yes,None,0,0.8,2,0,0,10,No,Yes,Q4
C078,Email,Store,Email to Store,8,4,Home,567.89,No,No,Yes,No,Yes,No,Yes,No,Yes,40,7800,Yes,None,1,4.5,1,9,0,7,No,No,Q1
C079,Social,Mobile App,Social Commerce,13,9,Beauty,234,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,28,3400,No,Cart,3,10,0,10,50,0,No,No,Q1
C080,Mobile App,Store,App to Store,6,2,Electronics,789,Yes,No,Yes,No,No,No,Yes,Yes,No,33,789,Yes,None,2,3,1,0,0,8,Yes,No,Q1
C081,Website,Mobile App,Cross-Device,5,3,Apparel,345,Yes,Yes,No,No,Yes,No,No,No,Yes,30,4500,Yes,None,2,2.5,0,4,0,9,No,No,Q1
C082,Store,Website,Webrooming,10,5,Sports,456,No,Yes,Yes,Yes,Yes,No,No,No,Yes,48,12000,Yes,None,3,6.3,3,7,10,10,No,Yes,Q2
C083,Email,Email,Email Only,4,2,Home,678.9,No,No,No,No,Yes,No,No,No,Yes,53,15600,Yes,None,0,1.8,0,16,0,8,No,Yes,Q2
C084,Social,Store,Social to Store,7,3,Beauty,123,Yes,No,Yes,Yes,No,No,No,No,Yes,24,1560,Yes,None,2,4,1,0,25,9,No,No,Q2
C085,Mobile App,Mobile App,Mobile Only,3,1,Electronics,2100,Yes,No,No,No,No,No,No,No,Yes,36,8900,Yes,None,0,1,0,0,0,10,No,Yes,Q2
C086,Website,Store,ROPO,9,4,Apparel,234.56,No,Yes,Yes,No,Yes,Yes,Yes,No,No,32,234.56,Yes,None,2,5.2,2,5,0,6,No,No,Q3
C087,Store,Mobile App,Showrooming,5,2,Sports,567,Yes,No,Yes,No,No,No,No,Yes,Yes,41,5600,No,Payment,1,2.3,1,0,0,0,No,No,Q3
C088,Email,Website,Email to Web,6,3,Home,789,No,Yes,No,No,Yes,No,No,No,Yes,37,4500,Yes,None,1,3.5,0,7,0,8,Yes,No,Q3
C089,Social,Social,Social Only,11,7,Beauty,345,No,No,No,Yes,Yes,No,No,No,Yes,20,890,No,Browse,0,8,0,5,60,0,No,No,Q3
C090,Mobile App,Store,App to Store,8,3,Electronics,456.78,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,46,9800,Yes,None,3,4.3,1,6,0,10,No,Yes,Q4
C091,Website,Website,Digital Only,4,1,Apparel,189,No,Yes,No,No,No,Yes,No,No,No,27,189,Yes,None,0,1.3,0,0,0,7,No,No,Q4
C092,Store,Store,Store Only,2,0,Sports,678.9,No,No,Yes,No,No,No,No,No,Yes,57,19800,Yes,None,0,0.3,1,0,0,9,No,Yes,Q4
C093,Email,Mobile App,Cross-Device,7,4,Home,890,Yes,Yes,No,No,Yes,No,No,No,Yes,35,6700,Yes,None,2,4,0,10,0,8,No,Yes,Q4
C094,Social,Store,Social to Store,14,8,Beauty,234,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,31,3400,Yes,None,4,9.5,3,8,48,10,No,No,Q1
C095,Mobile App,Website,Cross-Device,6,2,Electronics,1456,Yes,Yes,No,No,No,No,No,No,Yes,43,7800,No,Cart,2,3.2,0,0,0,0,No,Yes,Q1
C096,Website,Store,ROPO,5,1,Apparel,345.67,No,Yes,Yes,No,Yes,No,No,No,No,25,345.67,Yes,None,1,2,1,3,0,8,No,No,Q1
C097,Store,Mobile App,Showrooming,8,4,Sports,456,Yes,No,Yes,Yes,No,No,No,No,Yes,39,5600,Yes,None,2,4.5,2,0,6,9,Yes,No,Q1
C098,Email,Store,Email to Store,10,5,Home,567.89,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,50,12000,Yes,None,2,6,2,13,0,10,No,Yes,Q2
C099,Social,Mobile App,Social Commerce,9,6,Beauty,189.99,Yes,Yes,No,Yes,Yes,No,No,No,Yes,29,2300,No,Browse,2,7.3,0,7,42,0,No,No,Q2
C100,Mobile App,Mobile App,Mobile Only,4,1,Electronics,890,Yes,No,No,No,Yes,No,No,No,Yes,34,4500,Yes,None,0,1.7,0,2,0,9,No,No,Q2
